customer_id,age,income_band,customer_segment,occupation,city,kyc_risk_rating,amount,category,channel,premium_amount,product_type,income_score,age_bucket,age_income_interaction,premium_to_income_ratio,age_premium_interaction,wealth_segment
1,56,High,SME,Community arts worker,Kisumu,High,64878,Groceries,Branch,11058,Medical,3,Senior,168,2764.5,619248,MatureHighIncome
2,69,High,SME,"Education officer, environmental",Mombasa,High,86117,School Fees,USSD,11046,Life,3,Elderly,207,2761.5,762174,MatureHighIncome
3,46,Low,SME,Insurance underwriter,Nyeri,Low,270564,Travel,App,663,Travel,1,MiddleAge,46,331.5,30498,MatureLowIncome
4,32,Medium,Affluent,Investment analyst,Naivasha,Low,26054,Travel,Internet Banking,10351,Travel,2,YoungAdult,64,3450.3333333333335,331232,MatureLowIncome
5,60,High,SME,Tax inspector,Nakuru,Low,270306,Electronics,App,5101,Gadget,3,Senior,180,1275.25,306060,MatureHighIncome
6,25,Low,Affluent,Accounting technician,Kisumu,Low,166009,School Fees,Branch,5621,Education,1,YoungAdult,25,2810.5,140525,YoungLowIncome
7,78,Low,Affluent,Writer,Mombasa,High,124315,Groceries,App,8909,Medical,1,Elderly,78,4454.5,694902,MatureLowIncome
8,38,High,Affluent,Educational psychologist,Nyeri,Low,20665,Travel,Internet Banking,731,Travel,3,MiddleAge,114,182.75,27778,MatureHighIncome
9,56,Medium,Affluent,Maintenance engineer,Nyeri,Low,200961,School Fees,Branch,13732,Education,2,Senior,112,4577.333333333333,768992,MatureLowIncome
10,75,Low,SME,Multimedia specialist,Nakuru,Low,213025,School Fees,USSD,5039,Education,1,Elderly,75,2519.5,377925,MatureLowIncome
11,36,High,SME,Tax adviser,Meru,Medium,189756,Travel,Internet Banking,13130,Travel,3,MiddleAge,108,3282.5,472680,MatureHighIncome
12,40,Low,Mass,"Editor, magazine features",Nyeri,High,116678,Bills,Branch,6045,Education,1,MiddleAge,40,3022.5,241800,MatureLowIncome
13,28,Medium,SME,Geoscientist,Naivasha,High,267978,Bills,USSD,8784,Motor,2,YoungAdult,56,2928.0,245952,MatureLowIncome
14,28,High,Mass,"Conservator, museum/gallery",Nairobi,Low,123462,Groceries,USSD,3823,Life,3,YoungAdult,84,955.75,107044,YoungHighIncome
15,41,Medium,SME,Haematologist,Kisumu,High,181330,School Fees,Internet Banking,665,Education,2,MiddleAge,82,221.66666666666666,27265,MatureLowIncome
16,70,Medium,SME,"Therapist, art",Eldoret,Low,172984,School Fees,App,4774,Education,2,Elderly,140,1591.3333333333333,334180,MatureLowIncome
17,53,Low,SME,Learning mentor,Naivasha,High,152710,School Fees,USSD,10368,Education,1,Senior,53,5184.0,549504,MatureLowIncome
18,57,Medium,Affluent,"Psychologist, forensic",Eldoret,Low,282116,Electronics,USSD,8529,Gadget,2,Senior,114,2843.0,486153,MatureLowIncome
19,41,Low,SME,"Development worker, community",Meru,High,264236,Groceries,App,10354,Motor,1,MiddleAge,41,5177.0,424514,MatureLowIncome
20,20,High,SME,"Clinical scientist, histocompatibility and immunogenetics",Naivasha,Medium,178301,Groceries,Internet Banking,10908,Life,3,Youth,60,2727.0,218160,YoungHighIncome
21,39,High,Mass,Sports coach,Nairobi,Medium,140133,School Fees,Branch,8910,Education,3,MiddleAge,117,2227.5,347490,MatureHighIncome
22,70,Low,SME,Osteopath,Thika,Low,44515,School Fees,USSD,12827,Education,1,Elderly,70,6413.5,897890,MatureLowIncome
23,19,Low,Affluent,"Engineer, building services",Mombasa,Low,176271,Electronics,USSD,9695,Gadget,1,Youth,19,4847.5,184205,YoungLowIncome
24,41,Low,SME,Customer service manager,Thika,High,275025,Electronics,Internet Banking,5038,Gadget,1,MiddleAge,41,2519.0,206558,MatureLowIncome
25,61,Medium,Mass,Homeopath,Kisumu,Medium,230888,Bills,Internet Banking,9933,Medical,2,Senior,122,3311.0,605913,MatureLowIncome
26,47,High,SME,Industrial buyer,Mombasa,Low,208764,Travel,App,9669,Travel,3,MiddleAge,141,2417.25,454443,MatureHighIncome
27,55,High,SME,Contracting civil engineer,Kisumu,High,198427,School Fees,App,661,Education,3,Senior,165,165.25,36355,MatureHighIncome
28,19,Medium,Mass,Tourist information centre manager,Nyeri,Medium,136371,Electronics,Branch,8597,Gadget,2,Youth,38,2865.6666666666665,163343,MatureLowIncome
29,77,Low,SME,Race relations officer,Nakuru,Medium,55030,Travel,USSD,1020,Travel,1,Elderly,77,510.0,78540,MatureLowIncome
30,38,High,Mass,Maintenance engineer,Nairobi,High,178634,Groceries,Internet Banking,4966,Education,3,MiddleAge,114,1241.5,188708,MatureHighIncome
31,50,Medium,Mass,"Engineer, agricultural",Nakuru,High,263681,Electronics,Internet Banking,1290,Gadget,2,Senior,100,430.0,64500,MatureLowIncome
32,29,Low,Affluent,Television camera operator,Thika,High,224024,School Fees,USSD,12950,Education,1,YoungAdult,29,6475.0,375550,YoungLowIncome
33,75,High,Affluent,"Scientist, research (life sciences)",Eldoret,Low,195805,Bills,App,10647,Medical,3,Elderly,225,2661.75,798525,MatureHighIncome
34,39,Low,Mass,"Engineer, land",Eldoret,Medium,260686,Bills,Internet Banking,13205,Education,1,MiddleAge,39,6602.5,514995,MatureLowIncome
35,78,Medium,Affluent,Legal executive,Meru,Low,123665,Travel,Internet Banking,9632,Education,2,Elderly,156,3210.6666666666665,751296,MatureLowIncome
36,61,High,Affluent,Fish farm manager,Meru,High,157150,School Fees,USSD,5770,Education,3,Senior,183,1442.5,351970,MatureHighIncome
37,42,Low,Mass,"Psychologist, counselling",Meru,Low,157097,Bills,App,11194,Motor,1,MiddleAge,42,5597.0,470148,MatureLowIncome
38,66,Low,SME,Architect,Naivasha,High,256017,School Fees,App,6015,Education,1,Elderly,66,3007.5,396990,MatureLowIncome
39,44,Low,SME,Dealer,Nyeri,Low,176560,School Fees,App,12789,Education,1,MiddleAge,44,6394.5,562716,MatureLowIncome
40,76,Medium,SME,Holiday representative,Meru,Low,199006,Groceries,Branch,8474,Medical,2,Elderly,152,2824.6666666666665,644024,MatureLowIncome
41,59,Low,Affluent,Civil Service fast streamer,Machakos,High,114746,Bills,Internet Banking,11938,Medical,1,Senior,59,5969.0,704342,MatureLowIncome
42,45,High,Affluent,Contracting civil engineer,Machakos,Low,260046,School Fees,USSD,13748,Education,3,MiddleAge,135,3437.0,618660,MatureHighIncome
43,77,High,SME,Dramatherapist,Eldoret,High,52825,Travel,USSD,4628,Medical,3,Elderly,231,1157.0,356356,MatureHighIncome
44,33,Low,Mass,"Runner, broadcasting/film/video",Meru,Medium,16076,Electronics,USSD,6343,Gadget,1,YoungAdult,33,3171.5,209319,YoungLowIncome
45,32,Medium,Mass,"Journalist, newspaper",Machakos,Medium,51758,Travel,USSD,6601,Life,2,YoungAdult,64,2200.3333333333335,211232,MatureLowIncome
46,79,High,Mass,Veterinary surgeon,Naivasha,Medium,185858,Groceries,Branch,8214,Medical,3,Elderly,237,2053.5,648906,MatureHighIncome
47,79,High,Affluent,Youth worker,Machakos,Medium,111479,Bills,USSD,9614,Medical,3,Elderly,237,2403.5,759506,MatureHighIncome
48,64,High,SME,Astronomer,Meru,Medium,11180,Bills,App,2978,Medical,3,Senior,192,744.5,190592,MatureHighIncome
49,79,Low,Mass,Chief Strategy Officer,Naivasha,Low,289592,Electronics,USSD,3198,Gadget,1,Elderly,79,1599.0,252642,MatureLowIncome
50,68,High,SME,Industrial buyer,Meru,Medium,80232,Bills,App,14331,Medical,3,Elderly,204,3582.75,974508,MatureHighIncome
51,61,Low,SME,Translator,Machakos,Medium,212680,Travel,Branch,2283,Travel,1,Senior,61,1141.5,139263,MatureLowIncome
52,72,Low,Affluent,Pension scheme manager,Mombasa,Low,288525,Groceries,Branch,6646,Medical,1,Elderly,72,3323.0,478512,MatureLowIncome
53,69,Low,Mass,Illustrator,Kisumu,Medium,65454,Bills,Internet Banking,8864,Medical,1,Elderly,69,4432.0,611616,MatureLowIncome
54,74,Low,Affluent,"Producer, television/film/video",Thika,Medium,41882,Electronics,App,14776,Gadget,1,Elderly,74,7388.0,1093424,MatureLowIncome
55,20,Low,SME,General practice doctor,Thika,Low,235395,Electronics,Branch,3230,Education,1,Youth,20,1615.0,64600,YoungLowIncome
56,54,High,SME,Midwife,Naivasha,Low,259005,School Fees,Internet Banking,11054,Motor,3,Senior,162,2763.5,596916,MatureHighIncome
57,68,Low,SME,Clinical cytogeneticist,Mombasa,High,46682,Electronics,USSD,3955,Gadget,1,Elderly,68,1977.5,268940,MatureLowIncome
58,24,Low,Mass,Operations geologist,Nairobi,High,3304,Groceries,App,6026,Medical,1,Youth,24,3013.0,144624,YoungLowIncome
59,38,Low,Mass,"Producer, radio",Eldoret,High,247271,Travel,Internet Banking,1471,Travel,1,MiddleAge,38,735.5,55898,MatureLowIncome
60,26,Low,Mass,"Engineer, control and instrumentation",Mombasa,Low,227095,School Fees,USSD,9471,Education,1,YoungAdult,26,4735.5,246246,YoungLowIncome
61,56,Low,SME,"Therapist, art",Meru,High,227119,Bills,USSD,6666,Medical,1,Senior,56,3333.0,373296,MatureLowIncome
62,35,Low,SME,"Journalist, newspaper",Kisumu,Low,149609,Bills,USSD,12608,Life,1,MiddleAge,35,6304.0,441280,MatureLowIncome
63,21,High,Mass,Surgeon,Mombasa,Medium,153921,Travel,Branch,2803,Travel,3,Youth,63,700.75,58863,YoungHighIncome
64,42,Low,SME,Animator,Naivasha,High,3918,School Fees,USSD,5382,Motor,1,MiddleAge,42,2691.0,226044,MatureLowIncome
